Country,Change in Happiness,"COVID-19 deaths per 100,000 population in 2020",Index of exposure to COVID-19 infections in other countries,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Mexico,-0.4677243232727051,97.57569885253906,0.8478463292121887,257.0747375488281
Moldova,0.008178234100341797,73.99669647216797,2.348018169403076,103.69215393066406
Mongolia,0.4484596252441406,0.030500000342726707,1.1396116018295288,-26.467947006225586
Montenegro,0.3361377716064444,108.58799743652344,3.1344106197357178,
Morocco,-0.2541341781616211,20.016000747680664,2.336052894592285,
Myanmar,-0.0028734207153320312,4.929299831390381,0.7592831254005432,
Namibia,0.01519918441772461,8.067999839782715,0.6252112984657288,
Netherlands,0.07917928695678711,67.260498046875,5.573827266693115,114.46841430664062
New Zealand,0.05220746994018555,0.5184000134468079,0.37902915477752686,-7.563881874084473
Nigeria,1.146529197692871,0.6252999901771545,1.02329421043396,
North Macedonia,0.03817892074584872,120.14129638671875,2.8754208087921143,235.03024291992188
Norway,-0.15210723876953125,8.042400360107422,2.67567777633667,9.9976806640625
Philippines,-1.1881599426269531,8.435800552368164,0.7396153807640076,
Poland,-0.10263872146606445,75.44670104980469,3.198971748352051,206.50820922851562
Portugal,-0.3276810646057129,67.72769927978516,3.2235987186431885,140.23501586914062
Russia,0.05476522445678711,38.55910110473633,1.770572543144226,211.4047088623047
Saudi Arabia,-0.0016589164733886719,17.87510108947754,1.2504826784133911,
Serbia,-0.1998610496520996,47.188697814941406,3.1344106197357178,181.11599731445312
Slovakia,0.27566957473754883,39.16010284423828,4.655187606811523,121.41910552978516
Slovenia,-0.20319747924804688,129.7301025390625,4.307637691497803,182.71070861816406
South Africa,-0.08806276321411133,48.001399993896484,0.6065149307250977,
South Korea,-0.11012125015258789,1.788599967956543,1.6065058708190918,31.2661190032959
Spain,0.044725894927978516,108.7311019897461,4.331624507904053,173.2330780029297
Sweden,-0.08375167846679688,86.41220092773438,2.5899312496185303,87.81182098388672
Switzerland,-0.18578577041625977,88.33430480957031,5.583521842956543,116.6800308227539
Taiwan Province of China,0.21397781372070312,0.029400000348687172,0.8882954120635986,-1.1961814165115356
Tajikistan,-0.09061670303344727,0.9435999989509583,1.1353672742843628,95.32666778564453
Tanzania,0.1455292701721187,0.03519999980926514,0.7318025827407837,
Thailand,-0.13760709762573242,0.09030000120401382,0.7512210607528687,26.60967445373535
Tunisia,0.4153313636779785,39.564701080322266,3.017868757247925,
Turkey,-0.01051950454711914,24.758399963378906,2.066906452178955,
Uganda,-0.3071417808532715,0.5486999750137329,0.8155328035354614,
Ukraine,0.5679135322570801,44.08720016479492,2.206019639968872,81.40746307373047
United Arab Emirates,-0.25239038467407227,6.764100074768066,1.1989803314208984,
United Kingdom,-0.35897397994995117,108.44950103759766,5.009472846984863,133.31314086914062
United States,0.08438682556152344,104.45140075683594,1.6875032186508179,179.2197265625
Uruguay,-0.29065561294555664,5.2104997634887695,0.5724685788154602,
Venezuela,-0.5069737434387207,3.615100145339966,0.890544056892395,
Zambia,1.5311956405639648,2.110499858856201,0.6666667461395264,
Zimbabwe,0.4662790298461914,2.4423000812530518,0.645424485206604,
