Country,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19 infections in other countries,log(Average Distance to SARS countries),WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
United States,331002647.0,328239523.0,104.45140075683594,38.29999923706055,False,1.6875032186508179,9.314895629882812,False,False,0.25004276633262634,47.510000000000005,2810927.0,2839076.0,2852747.0,3424996.0,179.2197265625
Egypt,102334403.0,100388073.0,7.456900119781494,25.299999237060547,False,1.626674771308899,9.00685977935791,False,False,0.445924311876297,31.560000000000002,,,,,
Morocco,36910558.0,36471769.0,20.016000747680664,29.600000381469727,False,2.336052894592285,9.226011276245117,False,False,0.397255003452301,39.550000000000004,,,,,
Lebanon,6825442.0,6855713.0,21.507801055908203,31.100000381469727,False,1.891433835029602,8.956013679504395,False,False,0.1066327691078186,31.830000000000002,,,,,
Saudi Arabia,34813867.0,34268528.0,17.87510108947754,31.899999618530273,False,1.2504826784133911,8.896798133850098,False,False,0.6506189107894897,45.9,,,,,
Jordan,10203140.0,10101694.0,37.576698303222656,23.200000762939453,False,1.8946033716201782,8.960691452026367,False,False,0.46545493602752686,33.1,,,,,
Syria,17500657.0,17070135.0,4.062699794769287,21.700000762939453,False,1.8142449855804443,8.95091724395752,False,False,0.31939977407455444,34.2,,,,,
Turkey,84339067.0,83429615.0,24.758399963378906,31.600000381469727,False,2.066906452178955,8.951714515686035,False,False,0.2950316071510315,40.550000000000004,,,,,
Pakistan,220892331.0,216565318.0,4.606800079345703,23.5,False,1.0482311248779297,8.576827049255371,False,False,0.27687782049179077,33.45,,,,,
Indonesia,273523621.0,270625568.0,8.093599319458008,29.299999237060547,True,0.5756047368049622,8.577746391296387,False,False,0.5607911944389343,37.47749999999999,,,,,
Bangladesh,164689383.0,163046161.0,4.589900016784668,27.5,False,0.8239312767982483,8.34893798828125,False,True,0.576997697353363,43.9725,,,,,
United Kingdom,67886004.0,66834405.0,108.44950103759766,40.79999923706055,True,5.009472846984863,9.087469100952148,False,False,0.2675822079181671,34.07,606874.0,613309.0,600532.0,696705.0,133.31314086914062
France,65273512.0,67059887.0,99.21179962158203,42.0,False,5.0308990478515625,9.092100143432617,False,False,0.23413409292697906,29.3,604105.0,607786.0,611291.0,678259.0,106.59695434570312
Germany,83783945.0,83132799.0,40.33110046386719,46.599998474121094,False,4.837829113006592,9.01769733428955,False,True,0.4354351758956909,31.1,929351.0,952295.0,936772.0,1000855.0,73.54841613769531
Netherlands,17134873.0,17332850.0,67.260498046875,43.20000076293945,False,5.573827266693115,9.059903144836426,False,False,0.5222078561782837,27.0,149805.0,152991.0,151547.0,171175.0,114.46841430664062
Belgium,11589616.0,11484055.0,168.49569702148438,41.79999923706055,False,6.343307971954346,9.071179389953613,False,False,0.302761971950531,25.6,109278.0,110341.0,108436.0,128952.0,169.89352416992188
